Výrobný príkaz | Dátum a čas
VP336811       | 2021-04-29 05:29:31
VP336811       | 2021-04-29 05:29:32
VP336201       | 2021-04-29 05:29:33
VP336201       | 2021-04-29 05:29:34
VP336811       | 2021-04-29 05:29:35
VP336811       | 2021-04-29 05:29:36
VP336201       | 2021-04-29 05:29:37
VP336201       | 2021-04-29 05:29:38
VP336811       | 2021-04-29 05:29:39
VP336811       | 2021-04-29 05:29:40
VP336201       | 2021-04-29 05:29:41
VP331045       | 2021-04-29 05:29:43
VP336201       | 2021-04-29 05:29:44
VP336811       | 2021-04-29 05:29:45
VP336811       | 2021-04-29 05:29:46
VP336201       | 2021-04-29 05:29:47
VP336201       | 2021-04-29 05:29:48
VP336811       | 2021-04-29 05:29:49
VP333134       | 2021-04-29 05:29:50
VP336605       | 2021-04-29 05:29:51
VP333310       | 2021-04-29 05:29:52
VP335447       | 2021-04-29 05:29:53
VP336202       | 2021-04-29 05:29:55
VP336811       | 2021-04-29 05:31:11
VP336811       | 2021-04-29 05:31:12
VP336201       | 2021-04-29 05:31:13
VP336201       | 2021-04-29 05:31:14
VP336201       | 2021-04-29 05:31:15
VP336811       | 2021-04-29 05:31:16
VP336811       | 2021-04-29 05:31:18
VP336201       | 2021-04-29 05:31:19
VP336201       | 2021-04-29 05:31:20
VP336811       | 2021-04-29 05:31:21
VP336811       | 2021-04-29 05:31:22
VP336201       | 2021-04-29 05:31:23
VP336201       | 2021-04-29 05:31:24
VP336811       | 2021-04-29 05:31:25
VP336811       | 2021-04-29 05:31:26
VP336201       | 2021-04-29 05:31:27
VP331045       | 2021-04-29 05:31:29
VP336201       | 2021-04-29 05:31:30
VP336811       | 2021-04-29 05:31:31
VP336811       | 2021-04-29 05:31:32
VP336201       | 2021-04-29 05:31:33
VP336201       | 2021-04-29 05:31:34
VP336811       | 2021-04-29 05:31:35
VP333134       | 2021-04-29 05:31:36
VP336605       | 2021-04-29 05:31:37
VP333310       | 2021-04-29 05:31:38
VP335447       | 2021-04-29 05:31:39
VP336202       | 2021-04-29 05:31:41
VP336811       | 2021-04-29 05:31:42
VP336201       | 2021-04-29 05:31:43
VP339847       | 2021-04-29 05:31:44
VP5136519       | 2021-04-29 05:31:45
VP336811       | 2021-04-29 05:55:02
VP336811       | 2021-04-29 05:55:03
VP336201       | 2021-04-29 05:55:04
VP336201       | 2021-04-29 05:55:05
VP336201       | 2021-04-29 05:55:06
VP336811       | 2021-04-29 05:55:07
VP336811       | 2021-04-29 05:55:08
VP336201       | 2021-04-29 05:55:10
VP336201       | 2021-04-29 05:55:11
VP336811       | 2021-04-29 05:55:13
VP336811       | 2021-04-29 05:55:14
VP336201       | 2021-04-29 05:55:15
VP336201       | 2021-04-29 05:55:16
VP336811       | 2021-04-29 05:55:17
VP336811       | 2021-04-29 05:55:18
VP336201       | 2021-04-29 05:55:19
VP331045       | 2021-04-29 05:55:20
VP336201       | 2021-04-29 05:55:21
VP336811       | 2021-04-29 05:55:22
VP336811       | 2021-04-29 05:55:24
VP336201       | 2021-04-29 05:55:25
VP336201       | 2021-04-29 05:55:26
VP336811       | 2021-04-29 05:55:27
VP333134       | 2021-04-29 05:55:28
VP336605       | 2021-04-29 05:55:29
VP333310       | 2021-04-29 05:55:30
VP335447       | 2021-04-29 05:55:31
VP336202       | 2021-04-29 05:55:32
VP336811       | 2021-04-29 05:55:34
VP336201       | 2021-04-29 05:55:35
VP339847       | 2021-04-29 05:55:36
VP5136519       | 2021-04-29 05:55:37
VP336811       | 2021-04-29 06:01:11
VP336811       | 2021-04-29 06:01:13
VP336201       | 2021-04-29 06:01:15
VP336201       | 2021-04-29 06:01:17
VP336201       | 2021-04-29 06:01:19
VP336811       | 2021-04-29 06:01:21
VP336811       | 2021-04-29 06:01:23
VP336201       | 2021-04-29 06:01:25
VP336201       | 2021-04-29 06:01:27
VP336811       | 2021-04-29 06:01:29
VP336811       | 2021-04-29 06:01:31
VP336201       | 2021-04-29 06:01:33
VP336201       | 2021-04-29 06:01:35
VP336811       | 2021-04-29 06:01:37
VP336811       | 2021-04-29 06:01:39
VP336201       | 2021-04-29 06:01:41
VP331045       | 2021-04-29 06:01:43
VP336201       | 2021-04-29 06:01:45
VP336811       | 2021-04-29 06:01:47
VP336811       | 2021-04-29 06:01:49
VP336201       | 2021-04-29 06:01:51
VP336201       | 2021-04-29 06:01:53
VP336811       | 2021-04-29 06:01:56
VP333134       | 2021-04-29 06:01:58
VP336605       | 2021-04-29 06:02:00
VP333310       | 2021-04-29 06:02:02
VP335447       | 2021-04-29 06:02:04
VP336202       | 2021-04-29 06:02:06
VP336811       | 2021-04-29 06:02:08
VP336201       | 2021-04-29 06:02:10
VP339847       | 2021-04-29 06:02:12
VP5136519       | 2021-04-29 06:02:14
VP336811       | 2021-04-29 06:31:12
VP336811       | 2021-04-29 06:31:13
VP336201       | 2021-04-29 06:31:15
VP336201       | 2021-04-29 06:31:17
VP336201       | 2021-04-29 06:31:19
VP336811       | 2021-04-29 06:31:21
VP336811       | 2021-04-29 06:31:23
VP336201       | 2021-04-29 06:31:25
VP336201       | 2021-04-29 06:31:27
VP336811       | 2021-04-29 06:31:29
VP336811       | 2021-04-29 06:31:31
VP336201       | 2021-04-29 06:31:33
VP336201       | 2021-04-29 06:31:35
VP336811       | 2021-04-29 06:31:37
VP336811       | 2021-04-29 06:31:39
VP336201       | 2021-04-29 06:31:41
VP331045       | 2021-04-29 06:31:43
VP336201       | 2021-04-29 06:31:45
VP336811       | 2021-04-29 06:31:47
VP336811       | 2021-04-29 06:31:49
VP336201       | 2021-04-29 06:31:51
